decimalLatitude,decimalLongitude,occurrenceStatus
-32.719457,152.159267,1
-33.925746,151.164082,1
-31.732415,152.088515,1
-32.968624,151.644194,1
-28.652858,153.442855,1
-27.781553,153.33542,1
-33.823023,151.044947,1
-33.093048,151.4163,1
-25.788764,152.695003,1
-27.476426,152.977687,1
-26.38736,152.931415,1
-27.400618,152.800944,1
-32.83969,151.70187,1
-33.08688,151.42057,1
-27.461784,152.882858,1
-33.699881,151.043367,1
-33.755278,150.623221,1
-33.755291,150.623651,1
-33.3247,151.364,1
-28.512268,153.421007,1
-33.3249,151.365,1
-34.897855,150.638757,1
-29.618972,152.977267,1
-33.397549,151.377755,1
-33.98233,151.246871,1
-33.3248,151.365,1
-32.875456,151.696757,1
-34.200613,150.705572,1
-33.3244,151.365,1
-35.828,150.172,1
-28.7048,152.691,1
-32.914159,151.630539,1
-29.505351,152.82382,1
-33.836398,151.059792,1
-30.952236,152.858398,1
-34.887264,150.650493,1
-34.899221,150.602194,1
-33.4013,151.462,1
-32.399014,151.662136,1
-34.950265,150.59958,1
-33.013733,151.246863,1
-33.840416,151.07044,1
-32.9943,151.663,1
-32.7284,151.854,1
-29.1913,152.785,1
-33.3249,151.364,1
-33.3247,151.365,1
-33.3251,151.365,1
-32.786149,151.654455,1
-33.836298,151.0737,1
-30.165866,153.160006,1
-33.699096,151.154258,1
-33.3247,151.365,1
-33.734903,151.233162,1
-34.49539,150.774962,1
-34.077828,151.055528,1
-33.3245,151.365,1
-35.586768,150.170088,1
-33.773201,150.973266,1
-33.109005,151.464999,1
-33.840416,151.07044,1
-33.835933,151.062409,1
-34.89924,150.640009,1
-32.597869,151.603226,1
-33.4014,151.462,1
-33.3247,151.365,1
-32.9864,151.593,1
-28.714567,153.328004,1
-33.757069,150.623562,1
-32.549159,151.241154,1
-34.7473,150.567,1
-33.3248,151.364,1
-28.669,153.605,1
-33.841557,151.072879,1
-33.3246,151.365,1
-33.245304,151.455963,1
-35.828,150.172,1
-35.828,150.173,1
-32.858228,151.605454,1
-33.3247,151.365,1
-35.822793,150.126062,1
-33.839938,151.065574,1
-32.35784,151.78064,1
-33.397547,151.377767,1
-31.9419,152.427,1
-33.3249,151.365,1
-29.506225,152.824391,1
-33.1653,151.568,1
-34.496401,150.762648,1
-33.3247,151.365,1
-32.968734,151.644205,1
-29.879407,152.019201,1
-34.934477,150.602404,1
-33.4013,151.463,1
-28.324206,153.460666,1
-33.086823,151.420802,1
-33.0456,151.391,1
-32.7284,151.854,1
-33.832463,151.068529,1
-33.826288,151.053592,1
-33.8787,151.168,1
-33.3246,151.365,1
-32.988349,151.661698,1
-34.898025,150.637319,1
-33.879011,151.167911,1
-32.741481,151.955164,1
-33.242611,151.397422,1
-34.893812,150.636718,1
-33.3251,151.365,1
-33.789703,151.131294,1
-34.496422,150.762712,1
-28.272723,153.405233,1
-32.220679,152.19531,1
-34.0739,151.057,1
-33.832488,151.068531,1
-31.9364,152.401,1
-33.3246,151.365,1
-32.986,151.593,1
-34.573714,150.751613,1
-33.3251,151.365,1
-28.7047,153.088,1
-33.31308,151.519303,1
-31.4251,152.844,1
-28.3417,153.371,1
-32.098297,152.351768,1
-33.756166,150.623332,1
-33.842351,151.071565,1
-33.836398,151.059792,1
-33.70752,151.177495,1
-30.6498,152.891,1
-29.555647,153.285265,1
-34.904247,150.629968,1
-31.430557,152.609895,1
-34.7467,150.563,1
-34.090927,150.77124,1
-33.709696,151.173482,1
-33.3251,151.365,1
-34.925895,150.641443,1
-30.1942,153.01,1
-31.003564,152.860274,1
-33.325,151.365,1
-35.8279,150.172,1
-31.235364,151.348036,1
-33.383223,151.370396,1
-33.3249,151.365,1
-35.8276,150.173,1
-33.430893,151.381453,1
-33.4021,151.464,1
-35.682788,150.233489,1
-33.672343,151.275173,1
-32.636114,152.150811,1
-33.3249,151.365,1
-33.841557,151.072879,1
-31.9436,152.428,1
-32.857753,151.615762,1
-28.471553,152.792617,1
-32.902107,151.486887,1
-32.9007,151.479,1
-33.835933,151.062409,1
-33.836398,151.059792,1
-33.8226,150.655,1
-33.259229,151.474232,1
-32.850206,151.609928,1
-33.020477,151.172052,1
-30.2919,153.13,1
-33.086548,151.420802,1
-33.6825,151.256,1
-33.826424,151.060011,1
-33.325,151.365,1
-28.6584,153.24,1
-28.694933,153.598093,1
-30.321512,152.895115,1
-33.3244,151.365,1
-33.430919,151.381422,1
-34.904488,150.619735,1
-33.067963,151.11814,1
-33.3248,151.365,1
-34.563,150.834,1
-32.729639,152.086897,1
-29.618979,152.977273,1
-31.553284,151.740365,1
-33.619,151.016,1
-34.631775,150.854058,1
-30.10073,153.163241,1
-33.086792,151.420874,1
-29.505368,152.82377,1
-29.5846,152.779,1
-34.495767,150.775426,1
-32.932579,151.128686,1
-32.814323,151.463663,1
-29.791083,151.14544,1
-28.2721,153.405,1
-32.742011,151.953685,1
-32.3207,152.484,1
-34.1814,150.988,1
-33.557322,150.799918,1
-30.571237,151.905197,1
-33.699881,151.043433,1
-34.49553,150.775084,1
-33.086992,151.420467,1
-33.922272,151.215393,1
-33.3246,151.365,1
-32.39606,150.89162,1
-28.6558,153.183,1
-29.2296,152.016,1
-32.741472,151.955162,1
-32.894348,151.703246,1
-33.835933,151.062409,1
-33.8174,151.214,1
-33.3329,151.3954,1
-33.717871,150.848963,1
-33.835933,151.062409,1
-33.3249,151.365,1
-31.968,152.508,1
-34.910668,150.616766,1
-33.664,151.034,1
-28.565458,152.798191,1
-32.9863,151.593,1
-33.021446,151.170579,1
-33.84098,151.069813,1
-34.590271,150.863215,1
-35.7833,150.222,1
-33.1117,151.559,1
-34.48515,150.775199,1
-33.835933,151.062409,1
-34.946374,150.601105,1
-33.84098,151.069813,1
-33.4014,151.462,1
-33.94882,150.937246,1
-32.492758,151.100986,1
-33.837995,151.074188,1
-33.839198,151.071667,1
-35.024292,150.624317,1
-34.93565,150.601334,1
-32.624002,151.291288,1
-32.300136,151.21722,1
-34.0522,150.528,1
-35.470921,150.341025,1
-34.18411,150.699672,1
-34.496575,150.776865,1
-32.855676,151.617136,1
-28.307314,152.464708,1
-33.879029,151.167876,1
-33.325,151.365,1
-31.092287,153.003193,1
-29.035932,152.841445,1
-35.79316,150.219888,1
-21.279444,149.151382,1
-26.7601,152.850388,1
-17.283455,145.645724,1
-28.524583,153.196367,1
-26.823864,152.919465,1
-26.091492,152.560822,1
-32.081748,152.446583,1
-32.777751,151.549533,1
-27.753439,153.14601,1
-30.449995,151.622987,1
-33.231023,151.415905,1
-27.357221,152.940551,1
-33.641177,150.788835,1
-27.830331,153.257812,1
-26.812226,152.867108,1
-27.400725,152.8012,1
-34.524276,150.746765,1
-33.878593,151.16803,1
-30.274868,153.070053,1
-33.187157,151.4187,1
-26.720292,153.024163,1
-30.498047,151.625048,1
-26.858072,152.894195,1
-33.367473,150.720889,1
-30.276422,153.070744,1
-27.5,151.9,1
-26.824472,152.919903,1
-17.29517,145.478303,1
-27.684486,153.154672,1
-33.702704,151.106295,1
-26.911615,152.76358,1
-24.931855,152.239297,1
-21.279722,149.151382,1
-33.372708,150.755403,1
-30.356833,152.851037,1
-27.758136,153.112359,1
-27.39447,152.493378,1
-33.230758,151.415772,1
-30.274827,153.070073,1
-27.5,151.9,1
-25.928307,152.634994,1
-24.976336,152.216195,1
-34.771678,150.766647,1
-25.278734,152.766917,1
-26.387562,152.930019,1
-21.277956,149.147626,1
-33.878662,151.167878,1
-27.461784,152.882858,1
-32.096886,152.374878,1
-30.449967,151.622987,1
-27.5,153.0,1
-31.8,152.4,1
-33.624095,150.856642,1
-30.255344,153.137766,1
-35.793241,150.219551,1
-26.781045,152.880967,1
-27.487257,152.669991,1
-31.059163,152.753197,1
-33.770742,151.115372,1
-27.498975,153.002625,1
-34.734573,150.525894,1
-33.070934,151.125624,1
-30.576861,152.206089,1
-26.125064,152.649567,1
-25.026243,152.35485,1
-26.547202,153.087259,1
-27.497691,153.018211,1
-33.770645,151.115403,1
-27.505435,152.867196,1
-16.847486,145.61197,1
-21.279444,149.151382,1
-34.858996,150.599746,1
-30.449992,151.623017,1
-21.279444,149.151382,1
-33.417097,151.359119,1
-35.79342,150.219574,1
-25.278871,152.767057,1
-27.323635,152.089865,1
-33.098215,151.418875,1
-32.0969,152.374863,1
-30.27495,153.068837,1
-26.771795,152.817459,1
-28.138319,153.483648,1
-26.539103,153.094237,1
-31.462555,152.922867,1
-26.382115,152.983635,1
-24.029781,151.111729,1
-33.771513,151.113861,1
-30.289588,153.015914,1
-26.805833,153.132766,1
-20.297007,148.671009,1
-34.130907,150.603024,1
-25.278561,152.766561,1
-25.278957,152.766962,1
-26.825145,152.920575,1
-28.967487,151.923626,1
-33.824875,151.065907,1
-26.387815,152.929786,1
-31.807242,152.349897,1
-27.453203,153.006025,1
-26.87473,152.884901,1
-32.817977,151.497677,1
-27.477243,153.116288,1
-30.106748,153.183776,1
-27.2742,152.073,1
-25.9719,152.652,1
-33.3249,151.365,1
-28.099032,153.407189,1
-30.564513,151.004959,1
-26.36568,152.855598,1
-27.9917,153.298,1
-32.876045,151.695943,1
-33.774676,150.732328,1
-33.729686,151.269205,1
-34.564288,150.833207,1
-26.407758,152.989306,1
-30.100177,153.163171,1
-34.0028,150.72,1
-35.0764,150.677,1
-34.583919,150.788346,1
-26.691373,152.88955,1
-30.983346,151.595627,1
-17.186167,145.447873,1
-29.2365,152.013,1
-28.7531,153.388,1
-27.990377,153.293614,1
-33.193839,151.582405,1
-16.870212,145.678961,1
-31.828933,151.895722,1
-32.3419,152.448,1
-26.0451,152.574,1
-26.407607,152.989554,1
-26.318,151.868,1
-33.325,151.365,1
-33.983398,151.248226,1
-30.082225,153.185078,1
-29.476903,152.443462,1
-26.4374,152.667,1
-26.407281,152.989954,1
-33.6901,151.293,1
-29.2021,152.009,1
-33.325,151.365,1
-33.1068,151.186,1
-33.717,150.73,1
-30.321608,152.895244,1
-33.650044,150.806782,1
-34.4064,150.875,1
-29.505672,152.824144,1
-33.758923,150.615856,1
-28.127513,151.984374,1
-31.3354,152.466,1
-26.4678,152.891,1
-27.5303,152.69,1
-33.3247,151.365,1
-31.873625,152.439731,1
-28.1513,153.327,1
-26.6336,152.859,1
-16.797467,145.54781,1
-33.755334,150.623427,1
-26.4539,153.1,1
-16.515671,145.468412,1
-26.737098,152.8185,1
-26.745429,152.817332,1
-33.2334,151.299,1
-26.5514,153.095,1
-33.325,151.365,1
-27.7387,153.176,1
-26.7276,153.009,1
-33.3249,151.365,1
-30.100985,153.161895,1
-24.5183,151.972,1
-34.038619,150.676652,1
-33.3247,151.365,1
-25.9718,152.652,1
-26.1133,152.799,1
-29.687733,151.850899,1
-16.911094,145.742471,1
-26.755143,152.800994,1
-26.456002,152.998847,1
-34.484152,150.775899,1
-33.756262,150.623227,1
-33.3245,151.365,1
-30.3,153.0,1
-26.3869,152.855,1
-27.488932,152.915338,1
-33.3246,151.365,1
-33.3246,151.365,1
-26.4676,152.891,1
-26.745479,152.817361,1
-33.9307,151.204,1
-33.0863,151.421,1
-28.216,153.385,1
-32.931531,151.676119,1
-34.856403,150.520251,1
